text,category_truth,source
What is the television show Phil Ochs There but for Fortune playing,SearchCreativeWork,snips_benchmark
Is Sheikh Chilli playing,SearchScreeningEvent,snips_benchmark
what is the forecast for Orienta for hotter weather,GetWeather,snips_benchmark
Rate this album a 3,RateBook,snips_benchmark
find Fox Theatres with The Caretaker,SearchScreeningEvent,snips_benchmark
Rate Wolves Eat Dogs 5 out of 6 points,RateBook,snips_benchmark
play Zvooq latest track by Peter Appleyard,PlayMusic,snips_benchmark
Would you put hammer onto the lunch playlist?,AddToPlaylist,snips_benchmark
show creativity of saga Frontier Marshal,SearchCreativeWork,snips_benchmark
Send the track from andrew hewitt to the piano ballads playlist,AddToPlaylist,snips_benchmark
What is the weather like in Great Bay National Wildlife Refuge ?,GetWeather,snips_benchmark
What is the weather in the Netherlands,GetWeather,snips_benchmark
find Italy Has Awakened at a Goodrich Quality Theaters,SearchScreeningEvent,snips_benchmark
What will the weather be in Allenwood ?,GetWeather,snips_benchmark
"Is it humid in Caddo Mills , KY ?",GetWeather,snips_benchmark
Please add the singer Valery Kipelov to the Perfect Concentration list,AddToPlaylist,snips_benchmark
add manuelita to my indiespensables playlist,AddToPlaylist,snips_benchmark
Wish to read the novel called The Wizard of Stone Mountain,SearchCreativeWork,snips_benchmark
Can you play an ep from the year 1958 ?,PlayMusic,snips_benchmark
Play a popular chant by Brian Epstein,PlayMusic,snips_benchmark
Add Ava Leigh to my Grime Instrumentals playlist,AddToPlaylist,snips_benchmark
Rate the current essay 0 .,RateBook,snips_benchmark
What will the humidity be in Beroun on aug. 26,GetWeather,snips_benchmark
Rate the Why Is Sex Fun? saga two of 6,RateBook,snips_benchmark
Can you please give me the forecast for the Dominica,GetWeather,snips_benchmark
Find the Another Ticket game,SearchCreativeWork,snips_benchmark
Rate this album 2 stars,RateBook,snips_benchmark
find the closest movie theatre with animated movies,SearchScreeningEvent,snips_benchmark
Look for the Learning & Behavior picture,SearchCreativeWork,snips_benchmark
I'd like to hear a track by Theo Keating .,PlayMusic,snips_benchmark
give 5 out of 6 to this book,RateBook,snips_benchmark
is it overcast close-by in Illinois,GetWeather,snips_benchmark
weather for MA in the morning,GetWeather,snips_benchmark
what is the ME forecast for Joanna,GetWeather,snips_benchmark
Look for the TV series The Stars at Saint Andrea,SearchCreativeWork,snips_benchmark
"book spot for four at Cliff House, San Francisco in Martinique",BookRestaurant,snips_benchmark
Find GoodReader .,SearchCreativeWork,snips_benchmark
book me and my grandparents a restaurant in Saint Helens South Dakota,BookRestaurant,snips_benchmark
Find a television show called Merced Sun-Star .,SearchCreativeWork,snips_benchmark
Play hanging in the balance by Nik Kershaw on Zvooq .,PlayMusic,snips_benchmark
book a sushis serving restaurant in Uzbekistan,BookRestaurant,snips_benchmark
find movies at Amco Entertainment starting in 8 seconds from now,SearchScreeningEvent,snips_benchmark
I need to add another track to my cleaning playlist.,AddToPlaylist,snips_benchmark
Is it warm in West Monroe,GetWeather,snips_benchmark
I would like to book a puglia food court in KY,BookRestaurant,snips_benchmark
Book a tea place at seven,BookRestaurant,snips_benchmark
I give the current textbook 0 of 6 points,RateBook,snips_benchmark
Find The Way West show,SearchCreativeWork,snips_benchmark
Is The Ghost Breakers playing at Plitt Theatres in two hours,SearchScreeningEvent,snips_benchmark
Book an outdoor restaurant .,BookRestaurant,snips_benchmark
